"Bat ID","Last 4 digits","Site","Sampling Date","Luminex Date","Species","Age","Sex","Repro Status","Weight (g)","Forearm (mm)","EBOV","MARV","logEBOV","logMARV","logEBOVrs","logMARVrs"
"A083","2966","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,17.25,8.5,2.84781214347737,2.14006616349627,0.0732956310892878,0.0332385499648653
"A084","5868","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,22,6.5,3.09104245335832,1.87180217690159,0.121723749285474,-0.0172935023452562
"A085","3261","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","P",NA,NA,12.5,8,2.52572864430826,2.07944154167984,0.00916753054771617,0.0218188786187518
"A086","3904","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","NRS",NA,NA,16.75,9,2.81839825827108,2.19722457733622,0.0674392100286204,0.0440053025013802
"A087","9238","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,16,5,2.77258872223978,1.6094379124341,0.0583183499412332,-0.0667142423583726
"A088","2153","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","NRS",NA,NA,18.25,10.5,2.9041650800285,2.35137525716348,0.0845157239853424,0.0730421863393924
"A091","5113","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","NRS",NA,NA,19.25,11,2.95751106073379,2.39789527279837,0.0951371200611517,0.0818050169130014
"A092","832","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,14.25,6.5,2.65675690671466,1.87180217690159,0.0352557766300572,-0.0172935023452562
"A097","949","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","NRS",NA,NA,21.25,10,3.05635689537043,2.30258509299405,0.114817717291516,0.0638517349510955
"A098",NA,"Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","NRS",NA,NA,8,9.75,2.07944154167984,2.27726728500976,-0.0796899994455699,0.059082698250792
"A102","3340","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","P",NA,NA,19.25,7.5,2.95751106073379,2.01490302054226,0.0951371200611517,0.00966195823767558
"A105","7745","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,27.5,6.5,3.31418600467253,1.87180217690159,0.166152514282117,-0.0172935023452562
"A106","2905","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","P",NA,NA,27,10,3.29583686600433,2.30258509299405,0.16249912808754,0.0638517349510955
"A110","9089","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,493.5,10.5,6.20152285887354,2.35137525716348,0.74103271945018,0.0730421863393924
"A111","1383","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","P",NA,NA,56,8.5,4.02535169073515,2.14006616349627,0.307748419490517,0.0332385499648653
"A112","6479","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","JUV","M","NRS",NA,NA,21.5,7.25,3.06805293513362,1.98100146886658,0.11714644513944,0.00327602845106519
"A114","8092","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,21.5,8.5,3.06805293513362,2.14006616349627,0.11714644513944,0.0332385499648653
"A115","3072","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,19,6.5,2.94443897916644,1.87180217690159,0.0925344168391568,-0.0172935023452562
"A119","7021","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,18.75,10.25,2.93119375241642,2.32727770558442,0.0898972397254195,0.0685030055406714
"A121","5886","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,27.25,6.5,3.30505352110925,1.87180217690159,0.164334200628513,-0.0172935023452562
"A123","5678","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","JUV","M","NRS",NA,NA,13.5,7.75,2.60268968544438,2.04769284336526,0.0244907787007372,0.0158384751200347
"A126","174","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,12.25,8,2.50552593699074,2.07944154167984,0.00514509149258908,0.0218188786187518
"A130","3767","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","JUV","M","NRS",NA,NA,18,6.25,2.89037175789616,1.83258146374831,0.0817694189098368,-0.0246813860260289
"A131","1760","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,15.75,3,2.75684036527164,1.09861228866811,0.0551827896855148,-0.162936875404136
"A132","4204","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","P",NA,NA,19.5,6.5,2.9704144655697,1.87180217690159,0.0977062390777432,-0.0172935023452562
"A135","5539","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,17.5,10,2.86220088092947,2.30258509299405,0.0761604857135542,0.0638517349510955
"A141","5574","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","NRS",NA,NA,14.25,4.75,2.65675690671466,1.55814461804655,0.0352557766300572,-0.0763762005960481
"A143","8229","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","P",NA,NA,14.75,13,2.69124308278583,2.56494935746154,0.0421221108945924,0.113272474964212
"A144","3800","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","NRS",NA,NA,16.75,7,2.81839825827108,1.94591014905531,0.0674392100286204,-0.00333401425665573
"A146","4194","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","P",NA,NA,54.75,11.75,4.00277736869661,2.46385324059017,0.303253782549849,0.0942293140429782
"A147","2857","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","NRS",NA,NA,21.5,12,3.06805293513362,2.484906649788,0.11714644513944,0.0981950792148
"A148","5873","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","NRS",NA,NA,13,7,2.56494935746154,1.94591014905531,0.0169765299000399,-0.00333401425665573
